__Field,__Tooltip,PlayerTest_PlayerCommonBalanceSO
AimController_m_adsFovPunchEnvelopeDuration,ADS FOV 펀치 곡선 하나의 길이(초)입니다. 조준 중에는 화면이 확대돼 같은 펀치도 더 크게 보이므로 따로 둡니다. (0 이상),0.22
AimController_m_zoomInDuration,ADS 진입(확대)에 걸리는 시간(초)입니다. (0 이상),0.18
AimController_m_zoomOutDuration,ADS 해제(축소)에 걸리는 시간(초)입니다. 진입과 따로 둘 수 있어 빠르게 들어가고 느리게 나오는 식이 가능합니다. (0 이상),0.24
PlayerHealth_m_injuryConversionRatio,실제 HP 피해량을 부상 게이지로 변환할 때 곱하는 비율입니다. 기획 공식의 r 값입니다. (0 이상),0.35
PlayerHealth_m_normalInjuryMaxGauge,정상 상태로 판정되는 반올림 부상 게이지 최대값입니다. 1차 프로토타입 기준 0~10입니다. (0 이상),10
PlayerHealth_m_minorInjuryMaxGauge,경상 상태로 판정되는 반올림 부상 게이지 최대값입니다. 1차 프로토타입 기준 11~40입니다. (0 이상),40
PlayerHealth_m_criticalInjuryMinGauge,치명상 상태로 판정되기 시작하는 반올림 부상 게이지 최소값입니다. 1차 프로토타입 기준 71입니다. (0 이상),71
PlayerHealth_m_baseInjuryMultiplier,아직 구조된 적이 없을 때 적용되는 부상 게이지 배율입니다. (0 이상),1
PlayerHealth_m_revivedOnceInjuryMultiplier,첫 번째 구조 이후 적용되는 부상 게이지 배율입니다. (0 이상),1.2
PlayerHealth_m_revivedTwiceInjuryMultiplier,두 번째 구조 이후 적용되는 부상 게이지 배율입니다. (0 이상),1.5
PlayerHealth_m_revivedThreeTimesInjuryMultiplier,세 번째 구조 이후 적용되는 부상 게이지 배율입니다. (0 이상),1.8
PlayerHealth_m_downDuration,다운된 플레이어가 구조되지 않았을 때 전투 이탈 처리되기까지 걸리는 시간입니다. (0 이상),30
PlayerHealth_m_maxReviveCount,이 횟수만큼 구조된 뒤 다시 HP가 0이 되면 즉시 전투 이탈 처리됩니다. (0 이상),3
PlayerHealth_m_firstReviveHpPercent,현재 출격에서 첫 번째 구조 시 최대 HP 기준으로 회복되는 비율입니다. (범위 0~100),50
PlayerHealth_m_secondReviveHpPercent,현재 출격에서 두 번째 구조 시 최대 HP 기준으로 회복되는 비율입니다. (범위 0~100),25
PlayerHealth_m_thirdReviveHpPercent,현재 출격에서 세 번째 구조 시 최대 HP 기준으로 회복되는 비율입니다. (범위 0~100),10
